country,both,sst_only,direct_only,total,both_pct,sst_only_pct,direct_only_pct
Australia,11909,791,508,13208,90.16505148394913,5.9887946698970325,3.8461538461538463
China,865,752,118,1735,49.85590778097983,43.34293948126801,6.801152737752162
India,477,33,46,556,85.79136690647482,5.935251798561151,8.273381294964029
Vietnam,270,11,69,350,77.14285714285715,3.1428571428571432,19.714285714285715
United States,181,59,48,288,62.84722222222222,20.48611111111111,16.666666666666664
Thailand,202,2,11,215,93.95348837209302,0.9302325581395349,5.116279069767442
Philippines,169,12,8,189,89.41798941798942,6.349206349206349,4.232804232804233
New Zealand,117,16,7,140,83.57142857142857,11.428571428571429,5.0
Japan,109,6,18,133,81.95488721804512,4.511278195488721,13.533834586466165
United Arab Emirates,108,5,11,124,87.09677419354838,4.032258064516129,8.870967741935484
Fiji,94,10,6,110,85.45454545454545,9.090909090909092,5.454545454545454
Brazil,2,0,93,95,2.1052631578947367,0.0,97.89473684210527
South Korea,80,1,2,83,96.3855421686747,1.2048192771084338,2.4096385542168677
Singapore,67,6,6,79,84.81012658227847,7.59493670886076,7.59493670886076
United Kingdom,59,10,9,78,75.64102564102564,12.82051282051282,11.538461538461538
Germany,43,6,4,53,81.13207547169812,11.320754716981133,7.547169811320755
Argentina,3,0,49,52,5.769230769230769,0.0,94.23076923076923
Pakistan,21,2,23,46,45.65217391304348,4.3478260869565215,50.0
Bangladesh,4,1,38,43,9.30232558139535,2.3255813953488373,88.37209302325581
Canada,28,4,11,43,65.11627906976744,9.30232558139535,25.581395348837212
South Africa,23,1,18,42,54.761904761904766,2.380952380952381,42.857142857142854
Malaysia,34,1,6,41,82.92682926829268,2.4390243902439024,14.634146341463413
Indonesia,32,2,6,40,80.0,5.0,15.0
Sri Lanka,35,1,2,38,92.10526315789474,2.631578947368421,5.263157894736842
Ireland,22,11,1,34,64.70588235294117,32.35294117647059,2.941176470588235
Bahrain,26,1,6,33,78.78787878787878,3.0303030303030303,18.181818181818183
Hong Kong,22,9,2,33,66.66666666666666,27.27272727272727,6.0606060606060606
Taiwan,27,1,3,31,87.09677419354838,3.225806451612903,9.67741935483871
Spain,23,6,0,29,79.3103448275862,20.689655172413794,0.0
Saudi Arabia,18,1,6,25,72.0,4.0,24.0
Mexico,1,0,22,23,4.3478260869565215,0.0,95.65217391304348
Iraq,0,0,19,19,0.0,0.0,100.0
Ukraine,4,8,5,17,23.52941176470588,47.05882352941176,29.411764705882355
Qatar,14,1,1,16,87.5,6.25,6.25
Netherlands,5,2,9,16,31.25,12.5,56.25
Venezuela,0,0,16,16,0.0,0.0,100.0
Türkiye,0,0,14,14,0.0,0.0,100.0
France,10,2,2,14,71.42857142857143,14.285714285714285,14.285714285714285
Jordan,1,0,12,13,7.6923076923076925,0.0,92.3076923076923
Sweden,9,3,0,12,75.0,25.0,0.0
Colombia,1,0,11,12,8.333333333333332,0.0,91.66666666666666
Ecuador,1,0,11,12,8.333333333333332,0.0,91.66666666666666
Russia,1,0,10,11,9.090909090909092,0.0,90.9090909090909
Morocco,0,0,9,9,0.0,0.0,100.0
Nepal,4,0,5,9,44.44444444444444,0.0,55.55555555555556
(not set),0,9,0,9,0.0,100.0,0.0
Cambodia,7,0,1,8,87.5,0.0,12.5
Chile,0,0,8,8,0.0,0.0,100.0
Hungary,4,0,4,8,50.0,0.0,50.0
Egypt,1,0,6,7,14.285714285714285,0.0,85.71428571428571
Paraguay,0,0,7,7,0.0,0.0,100.0
Norway,4,2,1,7,57.14285714285714,28.57142857142857,14.285714285714285
Iran,0,5,2,7,0.0,71.42857142857143,28.57142857142857
Greece,6,1,0,7,85.71428571428571,14.285714285714285,0.0
Senegal,0,0,6,6,0.0,0.0,100.0
Uzbekistan,0,0,6,6,0.0,0.0,100.0
Ethiopia,0,0,5,5,0.0,0.0,100.0
Oman,0,0,5,5,0.0,0.0,100.0
Israel,3,0,2,5,60.0,0.0,40.0
Italy,4,0,0,4,100.0,0.0,0.0
Tunisia,0,0,4,4,0.0,0.0,100.0
Switzerland,2,0,2,4,50.0,0.0,50.0
Portugal,3,1,0,4,75.0,25.0,0.0
Nigeria,2,0,2,4,50.0,0.0,50.0
Algeria,0,0,4,4,0.0,0.0,100.0
Turkey,0,4,0,4,0.0,100.0,0.0
Trinidad and Tobago,0,3,0,3,0.0,100.0,0.0
Macao,2,0,1,3,66.66666666666666,0.0,33.33333333333333
Trinidad & Tobago,0,0,3,3,0.0,0.0,100.0
Albania,0,0,3,3,0.0,0.0,100.0
Poland,3,0,0,3,100.0,0.0,0.0
Peru,1,1,1,3,33.33333333333333,33.33333333333333,33.33333333333333
Azerbaijan,0,0,2,2,0.0,0.0,100.0
Lithuania,1,0,1,2,50.0,0.0,50.0
Austria,1,1,0,2,50.0,50.0,0.0
Madagascar,2,0,0,2,100.0,0.0,0.0
Kazakhstan,0,0,2,2,0.0,0.0,100.0
Denmark,2,0,0,2,100.0,0.0,0.0
Jamaica,0,0,2,2,0.0,0.0,100.0
Gabon,0,0,2,2,0.0,0.0,100.0
Georgia,1,0,1,2,50.0,0.0,50.0
Costa Rica,0,0,2,2,0.0,0.0,100.0
Jersey,1,0,1,2,50.0,0.0,50.0
Lebanon,0,1,1,2,0.0,50.0,50.0
Kenya,0,0,2,2,0.0,0.0,100.0
Zimbabwe,2,0,0,2,100.0,0.0,0.0
Belgium,2,0,0,2,100.0,0.0,0.0
Guyana,0,2,0,2,0.0,100.0,0.0
Panama,0,0,2,2,0.0,0.0,100.0
Nicaragua,1,0,0,1,100.0,0.0,0.0
Bulgaria,0,0,1,1,0.0,0.0,100.0
Belarus,0,0,1,1,0.0,0.0,100.0
Finland,1,0,0,1,100.0,0.0,0.0
Uruguay,0,0,1,1,0.0,0.0,100.0
Cyprus,0,0,1,1,0.0,0.0,100.0
Syria,0,0,1,1,0.0,0.0,100.0
Honduras,0,0,1,1,0.0,0.0,100.0
Serbia,1,0,0,1,100.0,0.0,0.0
Guatemala,0,0,1,1,0.0,0.0,100.0
Mauritius,1,0,0,1,100.0,0.0,0.0
Moldova,0,0,1,1,0.0,0.0,100.0
Uganda,1,0,0,1,100.0,0.0,0.0
Libya,0,0,1,1,0.0,0.0,100.0
Kyrgyzstan,0,0,1,1,0.0,0.0,100.0
