ga_session_id,session_start_ts,device_category,device_operating_system,device_browser,geo_country,traffic_source,event_count,has_purchase,engagement_time_msec,source,matched_to_direct,session_category,event_count_num,engagement_num,category,matched_to_sst
1767915451,1767915452000000,tablet,iOS,Safari,Australia,,73,0,346557,SST,True,Both,73,346557.0,Both,
1767915137,1767915138000000,desktop,Windows,Chrome,Fiji,,19,0,31853,SST,True,Both,19,31853.0,Both,
1767845325,1767845326000000,desktop,Macintosh,Safari,Australia,,3,0,17411,SST,True,Both,3,17411.0,Both,
1768182955,1768182956000000,desktop,Macintosh,Chrome,Australia,,8,0,4424,SST,True,Both,8,4424.0,Both,
1767854425,1767854426000000,mobile,iOS,Safari,Australia,,4,0,,SST,True,Both,4,0.0,Both,
1767998225,1767998226000000,mobile,iOS,Safari,Australia,,1,0,,SST,True,Both,1,0.0,Both,
1767934726,1767934727000000,desktop,Macintosh,Safari,Australia,,24,0,557568,SST,True,Both,24,557568.0,Both,
1767939907,1767939907000000,mobile,Android,Chrome,Australia,,1,0,,SST,True,Both,1,0.0,Both,
1767986450,1767986452000000,desktop,Windows,Chrome,China,,2,0,1934,SST,True,Both,2,1934.0,Both,
1767926376,1767926377000000,mobile,Android,Chrome,Australia,,5,0,20912,SST,True,Both,5,20912.0,Both,
1767845639,1767845645000000,desktop,Windows,Edge,Australia,,167,1,629335,SST,True,Both,167,629335.0,Both,
1768258429,1768258430000000,desktop,Windows,Edge,Australia,,9,0,102138,SST,True,Both,9,102138.0,Both,
1768183921,1768183922000000,mobile,iOS,Safari,Australia,,2,0,,SST,True,Both,2,0.0,Both,
1767783834,1767783833000000,desktop,Windows,Chrome,Australia,,3,0,13072,SST,True,Both,3,13072.0,Both,
1768133181,1768133181000000,mobile,Android,Samsung Internet,Australia,,43,0,170524,SST,True,Both,43,170524.0,Both,
1768203274,1768203275000000,desktop,Windows,Chrome,Australia,,60,0,147296,SST,True,Both,60,147296.0,Both,
1767924676,1767924677000000,desktop,Windows,Chrome,Australia,,27,0,37339,SST,True,Both,27,37339.0,Both,
1768174188,1768174189000000,desktop,Windows,Firefox,Australia,,75,1,499117,SST,True,Both,75,499117.0,Both,
1768015696,1768015698000000,desktop,Windows,Edge,Australia,,1,0,,SST,True,Both,1,0.0,Both,
