sst_ts,direct_ts,diff_seconds,device,country
1767657630000000,1767657570326820,-59.67318,desktop,South Korea
1767657652000000,1767657622744560,-29.25544,desktop,Australia
1767657652000000,1767657622744560,-29.25544,desktop,Australia
1767657656000000,1767657622744560,-33.25544,desktop,Australia
1767657656000000,1767657622744560,-33.25544,desktop,Australia
1767657665000000,1767657622744560,-42.25544,desktop,Australia
1767657686000000,1767657622744560,-63.25544,desktop,Australia
1767657693000000,1767657603146051,-89.853949,mobile,Australia
1767657726000000,1767657750985534,24.985534,desktop,Australia
1767657751000000,1767657750985534,-0.014466,desktop,Australia
1767657823000000,1767657833047581,10.047581,desktop,Australia
1767657833000000,1767657833047581,0.047581,desktop,Australia
1767657848000000,1767657847935329,-0.064671,desktop,Australia
1767658060000000,1767658060265992,0.265992,mobile,Australia
1767658060000000,1767658060265992,0.265992,mobile,Australia
1767658074000000,1767658073422612,-0.577388,desktop,Australia
1767658120000000,1767658119471788,-0.528212,desktop,Australia
1767658164000000,1767658163476437,-0.523563,desktop,Australia
1767658174000000,1767658174054119,0.054119,desktop,Australia
1767658207000000,1767658206777774,-0.222226,mobile,Australia
1767658217000000,1767658215721248,-1.278752,mobile,Greece
1767658221000000,1767658220271844,-0.728156,desktop,Japan
1767658226000000,1767658227942223,1.942223,desktop,Australia
1767658228000000,1767658227942223,-0.057777,desktop,Australia
1767658267000000,1767658266516712,-0.483288,desktop,Australia
1767658267000000,1767658266516712,-0.483288,desktop,Australia
1767658283000000,1767658283357074,0.357074,desktop,Australia
1767658314000000,1767658314303420,0.30342,desktop,Australia
1767658324000000,1767658323956172,-0.043828,desktop,Australia
1767658338000000,1767658337420170,-0.57983,desktop,Australia
1767658417000000,1767658417169286,0.169286,mobile,Australia
1767658432000000,1767658432243016,0.243016,desktop,New Zealand
1767658463000000,1767658462643659,-0.356341,mobile,Australia
1767658488000000,1767658502535918,14.535918,desktop,Australia
1767658509000000,1767658508847816,-0.152184,desktop,China
1767658552000000,1767658559702636,7.702636,desktop,Australia
1767658557000000,1767658559702636,2.702636,desktop,Australia
1767658626000000,1767658625091443,-0.908557,mobile,United States
1767658631000000,1767658630726509,-0.273491,desktop,Australia
1767658632000000,1767658630726509,-1.273491,desktop,Australia
1767658651000000,1767658650687698,-0.312302,desktop,Australia
1767658706000000,1767658705578200,-0.4218,desktop,Australia
1767658710000000,1767658709855882,-0.144118,desktop,Australia
1767658803000000,1767658802284985,-0.715015,desktop,Canada
1767658813000000,1767658813340875,0.340875,desktop,New Zealand
1767658823000000,1767658823140146,0.140146,desktop,Australia
1767658840000000,1767658839927376,-0.072624,desktop,Australia
1767658852000000,1767658851774752,-0.225248,mobile,Australia
1767658869000000,1767658869301614,0.301614,tablet,Australia
1767658878000000,1767658878213011,0.213011,desktop,Australia
1767659009000000,1767659036917372,27.917372,desktop,Australia
1767659033000000,1767659032738228,-0.261772,mobile,Australia
1767659037000000,1767659036917372,-0.082628,desktop,Australia
1767659060000000,1767659059554568,-0.445432,mobile,Australia
1767659066000000,1767659066241784,0.241784,tablet,Australia
1767659171000000,1767659171314445,0.314445,desktop,Australia
1767659237000000,1767659237426084,0.426084,desktop,Australia
1767659266000000,1767659266083896,0.083896,mobile,Australia
1767659317000000,1767659317104147,0.104147,mobile,Australia
1767659359000000,1767659358791456,-0.208544,desktop,Australia
1767659367000000,1767659367416740,0.41674,desktop,Australia
1767659384000000,1767659384392026,0.392026,desktop,Australia
1767659391000000,1767659391263401,0.263401,desktop,Australia
1767659463000000,1767659462755885,-0.244115,desktop,Philippines
1767659465000000,1767659464996587,-0.003413,mobile,Australia
1767659500000000,1767659500224887,0.224887,desktop,China
1767659528000000,1767659527652921,-0.347079,desktop,Australia
1767659554000000,1767659553947920,-0.05208,desktop,Indonesia
1767659594000000,1767659594494899,0.494899,desktop,Australia
1767659601000000,1767659600538473,-0.461527,mobile,Australia
1767659610000000,1767659609720312,-0.279688,desktop,Australia
1767659621000000,1767659620971740,-0.02826,desktop,China
1767659626000000,1767659627142173,1.142173,desktop,China
1767659654000000,1767659654566911,0.566911,desktop,Australia
1767659658000000,1767659658099583,0.099583,desktop,Fiji
1767659672000000,1767659671491208,-0.508792,mobile,Australia
1767659720000000,1767659719768642,-0.231358,desktop,Australia
1767659752000000,1767659751282364,-0.717636,desktop,Australia
1767659793000000,1767659792911474,-0.088526,desktop,Australia
1767659808000000,1767659808329362,0.329362,desktop,China
1767659818000000,1767659816928523,-1.071477,desktop,Japan
1767659823000000,1767659822942746,-0.057254,desktop,Australia
1767659869000000,1767659869078505,0.078505,desktop,Australia
1767659887000000,1767659934213477,47.213477,desktop,China
1767659896000000,1767659896432103,0.432103,mobile,Australia
1767659917000000,1767659917607636,0.607636,desktop,Australia
1767659919000000,1767659918708953,-0.291047,desktop,Australia
1767659935000000,1767659934213477,-0.786523,desktop,China
1767659940000000,1767659939562258,-0.437742,desktop,Japan
1767659945000000,1767659945251420,0.25142,desktop,Australia
1767659946000000,1767659945251420,-0.74858,desktop,Australia
1767659988000000,1767659987823769,-0.176231,desktop,Australia
1767659997000000,1767659996359433,-0.640567,desktop,South Korea
1767659997000000,1767659996557173,-0.442827,mobile,Australia
1767660057000000,1767660056784929,-0.215071,desktop,Australia
1767660061000000,1767660061021705,0.021705,desktop,Australia
1767660061000000,1767660061021705,0.021705,desktop,Australia
1767660109000000,1767660109533344,0.533344,mobile,Australia
1767660123000000,1767660122619355,-0.380645,desktop,Australia
1767660162000000,1767660161970734,-0.029266,desktop,Australia
1767660210000000,1767660209779071,-0.220929,desktop,Australia
1767660247000000,1767660247063920,0.06392,mobile,Australia
1767660266000000,1767660265838338,-0.161662,mobile,Thailand
1767660298000000,1767660298047303,0.047303,desktop,Japan
1767660302000000,1767660301761009,-0.238991,mobile,Australia
1767660401000000,1767660387647545,-13.352455,desktop,Australia
1767660440000000,1767660440136553,0.136553,mobile,Australia
1767660469000000,1767660468908791,-0.091209,desktop,Australia
1767660490000000,1767660490235034,0.235034,desktop,Australia
1767660537000000,1767660537207814,0.207814,desktop,Australia
1767660581000000,1767660580622282,-0.377718,desktop,Australia
1767660591000000,1767660590729152,-0.270848,desktop,Australia
1767660765000000,1767660764698520,-0.30148,mobile,Australia
1767660770000000,1767660769701118,-0.298882,desktop,Australia
1767660787000000,1767660786271775,-0.728225,desktop,South Korea
1767660831000000,1767660831467181,0.467181,desktop,Australia
1767660846000000,1767660846302696,0.302696,desktop,Australia
1767660872000000,1767660871879810,-0.12019,desktop,Australia
1767660875000000,1767660875382002,0.382002,desktop,Australia
1767660889000000,1767660889147090,0.14709,desktop,Australia
1767660894000000,1767660893553923,-0.446077,desktop,Australia
1767660895000000,1767660894441548,-0.558452,mobile,Australia
1767660938000000,1767660937210105,-0.789895,desktop,Australia
1767660961000000,1767660961124283,0.124283,desktop,Australia
1767660966000000,1767660966347691,0.347691,desktop,Australia
1767660993000000,1767660993099550,0.09955,desktop,Australia
1767661078000000,1767661077957698,-0.042302,mobile,Australia
1767661081000000,1767661081404651,0.404651,desktop,Australia
1767661090000000,1767661090290065,0.290065,desktop,Australia
1767661106000000,1767661105893982,-0.106018,desktop,Australia
1767661109000000,1767661108802179,-0.197821,desktop,Australia
1767661109000000,1767661108802179,-0.197821,desktop,Australia
1767661121000000,1767661120610753,-0.389247,desktop,Australia
1767661130000000,1767661129686212,-0.313788,desktop,Australia
1767661131000000,1767661131214003,0.214003,desktop,Australia
1767661174000000,1767661173884846,-0.115154,desktop,Australia
1767661317000000,1767661317104986,0.104986,desktop,Australia
1767661355000000,1767661354942254,-0.057746,desktop,Australia
1767661364000000,1767661363770326,-0.229674,mobile,Australia
1767661403000000,1767661403166940,0.16694,desktop,Australia
1767661439000000,1767661438470869,-0.529131,desktop,Australia
